cell	cell_type
PD_SRR10793152	T cell
PD_SRR10793153	T cell
PD_SRR10793214	B cell
PD_SRR10793216	Epithelial
PD_SRR10793273	Fibroblast
PD_SRR10793275	Epithelial
PD_SRR10793329	Fibroblast
PD_SRR10793382	Fibroblast
PD_SRR10793435	Endothelial
PD_SRR10793437	Melanocyte
PD_SRR10793439	Endothelial
PD_SRR10793481	Melanocyte
PD_SRR10793483	Mast cell
PD_SRR10793533	Endothelial
PD_SRR10793540	Endothelial
PD_SRR10793542	Endothelial
PD_SRR10793594	Mast cell
PD_SRR10793642	B cell
PD_SRR10793700	T cell
PD_SRR10793703	B cell
PD_SRR10793765	Macrophage
PD_SRR10793767	B cell
PD_SRR10793769	cDC
PD_SRR10793836	Endothelial
PD_SRR10793838	pDC
PD_SRR10793926	B cell
PD_SRR10793928	Macrophage
PD_SRR10793929	Macrophage
PD_SRR10793989	T cell
PD_SRR10793992	Macrophage
PD_SRR10794054	T cell
PD_SRR10794056	T cell
PD_SRR10794058	T cell
PD_SRR10794105	Endothelial
PD_SRR10794108	pDC
PD_SRR10794169	cDC
PD_SRR10794171	T cell
PD_SRR10794173	T cell
PD_SRR10794232	B cell
PD_SRR10794236	cDC
PD_SRR10794277	Melanocyte
PD_SRR10794360	B cell
PD_SRR10794362	cDC
PD_SRR10794363	T cell
PD_SRR10794419	T cell
PD_SRR10794421	cDC
PD_SRR10794422	T cell
PD_SRR10794481	T cell
PD_SRR10794483	T cell
PD_SRR10794484	Macrophage
PD_SRR10794564	cDC
PD_SRR10794565	cDC
PD_SRR10794627	Macrophage
PD_SRR10794629	B cell
PD_SRR10794630	T cell
PD_SRR10794682	T cell
PD_SRR10794684	T cell
PD_SRR10794686	Macrophage
PD_SRR10794747	cDC
PD_SRR10794749	T cell
PD_SRR10794879	pDC
PD_SRR10794880	Mast cell
PD_SRR10794933	Epithelial
PD_SRR10795004	T cell
PD_SRR10795006	T cell
PD_SRR10795007	T cell
PD_SRR10795075	Mast cell
PD_SRR10795077	Endothelial
PD_SRR10795142	T cell
PD_SRR10795144	cDC
PD_SRR10795146	Macrophage
PD_SRR10795213	Macrophage
PD_SRR10795288	T cell
PD_SRR10795290	cDC
PD_SRR10795292	Macrophage
PD_SRR10795353	B cell
PD_SRR10795413	Mast cell
PD_SRR10795473	Endothelial
PD_SRR10795475	Mast cell
PD_SRR10795477	Mast cell
PD_SRR10795528	B cell
PD_SRR10795530	T cell
PD_SRR10795570	T cell
PD_SRR10795572	Macrophage
PD_SRR10795627	Fibroblast
PD_SRR10795628	Endothelial
PD_SRR10795645	Endothelial
PD_SRR10795647	Melanocyte
PD_SRR10795694	Epithelial
PD_SRR10795695	Fibroblast
PD_SRR10795773	Macrophage
PD_SRR10795775	B cell
PD_SRR10795849	T cell
PD_SRR10795851	T cell
PD_SRR10795967	T cell
PD_SRR10795969	T cell
PD_SRR10795971	Macrophage
PD_SRR10796008	T cell
PD_SRR10796010	Macrophage
PD_SRR10796012	T cell
PD_SRR10796071	T cell
PD_SRR10796074	Macrophage
PD_SRR10796097	cDC
PD_SRR10796099	Epithelial
PD_SRR10796101	T cell
PD_SRR10796160	Macrophage
PD_SRR10796162	T cell
PD_SRR10796163	T cell
PD_SRR10796222	B cell
PD_SRR10796224	B cell
PD_SRR10796225	Macrophage
PD_SRR10796273	Macrophage
PD_SRR10796277	T cell
PD_SRR10796331	Macrophage
PD_SRR10796333	cDC
PD_SRR10796334	T cell
PD_SRR10796354	Macrophage
PD_SRR10796356	Macrophage
PD_SRR10796358	T cell
PD_SRR10796418	Macrophage
PD_SRR10796420	B cell
PD_SRR10796469	T cell
PD_SRR10796520	Melanocyte
PD_SRR10796521	Endothelial
PD_SRR10796577	Macrophage
PD_SRR10796579	Macrophage
PD_SRR10796581	Macrophage
PD_SRR10796626	Endothelial
PD_SRR10796628	Mast cell
PD_SRR10796674	Melanocyte
PD_SRR10796677	Endothelial
PD_SRR10796727	Macrophage
PD_SRR10796728	Macrophage
PD_SRR10796822	Epithelial
PD_SRR10796918	T cell
PD_SRR10796998	Fibroblast
PD_SRR10797074	T cell
PD_SRR10797076	T cell
PD_SRR10797078	cDC
PD_SRR10797178	Mast cell
PD_SRR10797180	Endothelial
PD_SRR10797182	Melanocyte
PD_SRR10797266	cDC
PD_SRR10797268	T cell
PD_SRR10797270	T cell
PD_SRR10797355	T cell
PD_SRR10797357	T cell
PD_SRR10797358	Macrophage
PD_SRR10797423	Mast cell
PD_SRR10797426	Mast cell
PD_SRR10797481	Macrophage
PD_SRR10797483	B cell
PD_SRR10797485	cDC
PD_SRR10797504	Melanocyte
PD_SRR10797508	Mast cell
PD_SRR10797565	B cell
PD_SRR10797567	T cell
PD_SRR10797568	T cell
PD_SRR10797610	cDC
PD_SRR10797612	T cell
PD_SRR10797711	B cell
PD_SRR10797713	T cell
PD_SRR10797714	T cell
PD_SRR10797789	Macrophage
PD_SRR10797791	T cell
PD_SRR10797793	T cell
PD_SRR10797846	Fibroblast
PD_SRR10797848	B cell
PD_SRR10797901	Fibroblast
PD_SRR10797934	Epithelial
PD_SRR10797995	Fibroblast
PD_SRR10797997	Epithelial
PD_SRR10798049	cDC
PD_SRR10798051	cDC
PD_SRR10798053	Epithelial
PD_SRR10798156	Fibroblast
PD_SRR10798209	pDC
PD_SRR10798210	T cell
PD_SRR10798271	T cell
PD_SRR10798273	Macrophage
PD_SRR10798289	T cell
PD_SRR10798290	T cell
PD_SRR10798352	T cell
PD_SRR10798391	Mast cell
PD_SRR10798393	Endothelial
PD_SRR10798451	Endothelial
PD_SRR10798502	T cell
PD_SRR10798504	B cell
PD_SRR10798505	T cell
PD_SRR10798564	Fibroblast
