"logFC","logCPM","F","PValue","FDR","gene","cluster_id","contrast","Significant","neglogFDR"
18.5271475935055,9.80993674554106,4035.7101335178,2.21503055517106e-225,9.08871337397789e-221,"TPSAB1","Fibroblast","TN - RD",TRUE,220.04149759248
17.6581381320668,9.15168606665974,2863.88359645247,6.5475696472814e-209,1.34329938883625e-204,"TPSB2","Fibroblast","TN - RD",TRUE,203.871827182842
14.5065338812269,6.8406848483503,1648.96825457009,4.98008968216073e-186,6.81143466128063e-182,"KIT","Fibroblast","TN - RD",TRUE,181.166761404995
14.1531918648102,7.32572941591024,1396.47169794246,5.05714489008021e-167,5.18761922824428e-163,"CPA3","Fibroblast","TN - RD",TRUE,162.285031908675
14.0417905204387,6.69089842336766,1091.03924577343,3.96799606570974e-145,3.25629629136404e-141,"HDC","Fibroblast","TN - RD",TRUE,140.487276085401
14.2911133490595,6.9852524466794,831.563098780912,5.29211430495643e-120,3.61910056934954e-116,"MS4A2","Fibroblast","TN - RD",TRUE,115.441399348335
14.4350822771209,7.33026395882825,755.478283298018,1.79179249098474e-110,1.05029756414408e-106,"TPSD1","Fibroblast","TN - RD",TRUE,105.978687641732
11.8899524066297,6.04868607968955,478.335916320203,5.1224532413411e-82,2.62730626748385e-78,"SIGLEC6","Fibroblast","TN - RD",TRUE,77.5804892981597
12.2207542149318,5.9762645806048,457.129789934256,5.3787917494197e-79,2.45225092291321e-75,"HPGDS","Fibroblast","TN - RD",TRUE,74.6104350933457
12.9906205315939,6.08257260519103,428.528720203799,4.95300468200359e-75,2.03231688111971e-71,"RHEX","Fibroblast","TN - RD",TRUE,70.6920085754274
-11.8983100788866,3.77743200676277,622.223867303782,5.18231630298855e-97,2.12640802544226e-92,"FOLR1","Macrophage","PD - RD",TRUE,91.6723533972936
-13.4392409618001,4.43218630062735,640.623605492364,2.2575811879894e-96,4.63165356527905e-92,"SFTPD","Macrophage","PD - RD",TRUE,91.3342639320773
-11.4736482411837,3.64347752186659,602.062448877287,5.31882376473546e-95,5.45604941786564e-91,"EPCAM","Macrophage","PD - RD",TRUE,90.2631217047355
-11.1336554164155,3.51695062678023,593.717542758761,4.86306619099053e-95,5.45604941786564e-91,"PEBP4","Macrophage","PD - RD",TRUE,90.2631217047355
-12.4020820620624,3.61113582739005,517.543482011222,2.3457619849501e-84,1.92502611532945e-80,"CXCL17","Macrophage","PD - RD",TRUE,79.7155633743807
-12.0210915765621,3.48070601063765,387.062236829669,2.5471794274892e-68,1.74193110447894e-64,"LAMP3","Macrophage","PD - RD",TRUE,63.7589690258704
-12.1472876234556,3.6293636004545,364.47695690206,7.06556397877434e-67,4.14163173110098e-63,"DHCR24","Macrophage","PD - RD",TRUE,62.3828285206674
-11.3856115802169,3.15848791416028,366.638140583083,4.45217144806278e-65,2.2835187357114e-61,"PRSS8","Macrophage","PD - RD",TRUE,60.6413954207626
